epoch: 41, lr_adam: 3.00e-04, lr_wav2vec: 1.00e-05 - train loss: 8.81e-01 - valid loss: 5.65e-01, valid ctc_loss: 5.64e-01, valid PER: 22.73, valid mpd_f1: 4.08e-01
epoch: 42, lr_adam: 3.00e-04, lr_wav2vec: 1.00e-05 - train loss: 8.56e-01 - valid loss: 5.62e-01, valid ctc_loss: 5.61e-01, valid PER: 22.82, valid mpd_f1: 4.01e-01
epoch: 43, lr_adam: 3.00e-04, lr_wav2vec: 1.00e-05 - train loss: 8.66e-01 - valid loss: 5.66e-01, valid ctc_loss: 5.65e-01, valid PER: 22.29, valid mpd_f1: 4.16e-01
epoch: 44, lr_adam: 3.00e-04, lr_wav2vec: 1.00e-05 - train loss: 8.95e-01 - valid loss: 5.72e-01, valid ctc_loss: 5.70e-01, valid PER: 22.53, valid mpd_f1: 3.86e-01
epoch: 45, lr_adam: 3.00e-04, lr_wav2vec: 1.00e-05 - train loss: 8.68e-01 - valid loss: 5.59e-01, valid ctc_loss: 5.58e-01, valid PER: 22.36, valid mpd_f1: 4.06e-01
epoch: 46, lr_adam: 3.00e-04, lr_wav2vec: 1.00e-05 - train loss: 8.58e-01 - valid loss: 5.61e-01, valid ctc_loss: 5.60e-01, valid PER: 22.54, valid mpd_f1: 4.07e-01
epoch: 47, lr_adam: 3.00e-04, lr_wav2vec: 1.00e-05 - train loss: 8.13e-01 - valid loss: 5.55e-01, valid ctc_loss: 5.54e-01, valid PER: 21.35, valid mpd_f1: 4.08e-01
epoch: 48, lr_adam: 3.00e-04, lr_wav2vec: 1.00e-05 - train loss: 8.51e-01 - valid loss: 5.61e-01, valid ctc_loss: 5.60e-01, valid PER: 22.72, valid mpd_f1: 3.84e-01
epoch: 49, lr_adam: 3.00e-04, lr_wav2vec: 1.00e-05 - train loss: 8.14e-01 - valid loss: 5.57e-01, valid ctc_loss: 5.56e-01, valid PER: 21.22, valid mpd_f1: 3.99e-01
epoch: 50, lr_adam: 3.00e-04, lr_wav2vec: 1.00e-05 - train loss: 8.06e-01 - valid loss: 5.48e-01, valid ctc_loss: 5.47e-01, valid PER: 21.02, valid mpd_f1: 4.20e-01
Epoch loaded: 50 - test loss: 6.52e-01, test PER: 22.71, test mpd_f1: 3.61e-01
